,Feature,Coefficient
57,State_SC,1.3582987641351583
26,State_IN,1.322936579843773
40,State_NC,1.311858651535928
50,State_OH,1.1108917455758855
17,State_CT,1.109414849156758
0,BreezeUser,1.0704444121260064
53,State_OR,1.0698318362316397
54,State_PA,1.0415983571886651
65,State_WA,0.8982721923224524
51,State_OK,0.8459668990716329
62,State_UT,0.7778275573583495
43,State_NH,0.7112265234809929
63,State_VA,0.5565817094626282
18,State_DC,0.5324689436133135
32,State_MD,0.4496158182936781
30,State_MA,0.3156851719808149
3,LibrariesAdded,0.11752372157456933
27,State_KS,0.09418376246029303
61,State_TX,0.09019377811394494
4,FilesCreated,0.06738464449947286
1,PrimeTransactions,0.0013038755595270986
5,FormsAdded,0.0009006083211232634
2,PrimeListings,-0.0006767054444758345
55,State_QC,-0.006186492232383588
45,State_NL,-0.006660141206241292
20,State_FL,-0.008044175511532017
47,State_NS,-0.015420134933395389
42,State_NE,-0.016617142668440513
13,State_AZ,-0.03077115826503072
31,State_MB,-0.03334257915482766
64,State_VT,-0.0370986408036007
39,State_NB,-0.05461640078674096
58,State_SD,-0.06918773092858264
59,State_SK,-0.08169371072734428
67,State_WV,-0.08709839510266068
41,State_ND,-0.13041697695791532
28,State_KY,-0.1411994844038656
23,State_IA,-0.14419642422330403
37,State_MS,-0.146558533102202
19,State_DE,-0.16025579681625837
38,State_MT,-0.17858176951997504
10,State_AK,-0.19343583499169564
68,State_WY,-0.21797222085773757
48,State_NV,-0.219455758326639
46,State_NM,-0.22374553578219913
33,State_ME,-0.24980808369980875
56,State_RI,-0.2536044768949779
12,State_AR,-0.28524288150381694
25,State_IL,-0.3035136565475342
22,State_HI,-0.31845252066023266
24,State_ID,-0.3332929577702568
35,State_MN,-0.46557726371377545
11,State_AL,-0.48860529687851745
66,State_WI,-0.5030964064879919
36,State_MO,-0.5187636665087864
29,State_LA,-0.5554330448628623
34,State_MI,-0.5885103902779049
8,UserType_Limited TC,-0.748330674200845
60,State_TN,-0.7581808976920821
15,State_CA,-0.8422584280828469
14,State_BC,-0.8752316918777846
6,UserType_Auditor,-0.9116078849865219
16,State_CO,-1.0585852884527824
21,State_GA,-1.2995485816914008
44,State_NJ,-1.4114672368780474
52,State_ON,-1.5191181799917002
7,UserType_Broker,-1.5931665208060293
49,State_NY,-1.7691673109631247
9,UserType_Not Specified,-2.2910689137773113
